Job Title,Description,Company,Employer Logo,Employer Website,Job Publisher,Employment Type,Location,Remote,Min Salary,Max Salary,Job Posted,Job Expiration,Job Link
Entry-Level IT/Security GRC Analyst (Remote),"Hotman Group has an opportunity for a full-time, remote, entry-level IT/ Security GRC Analyst. This position requires previous 1-2 years experience in a similar role or function, and starts as contract-to-hire. Top-tier workers will be converted to permanent within 6 months.

The IT/ Security Governance, Risk, and Compliance (GRC) Analyst will be supporting cybersecurity, compliance, risk, and GRC program initiatives for our clients. This person will work closely with the team and our senior partners to provide client and backend support for security/ IT controls, assessments, analysis, risk, audits, GRC tools, policies, processes, industry frameworks, privacy, just to name a few.
Responsibilities
• Assess, evaluate, and make recommendations regarding the adequacy of the security/ IT controls for the client's environment and business objectives
• Develop policies, procedures, and processes based on audit findings and/ or compliance framework requirements
• Crosswalk controls across multiple security compliance frameworks and regulation to foster adoption and identify gaps
• Advise and develop security standards, guidelines, and controls based on best practices and compliance frameworks
• Translate security analyses, audit results, and compliance guidance into plain English that is understandable and actionable
• Analyze and suggest improvements for security/ IT controls in both design and operation effectiveness
• Develop risk registers, ideally aligned to controls, and execute basic risk assessment and management practices
• Perform assessments (risk and/or compliance) to develop a baseline for creating or expanding a security program
• Develop plans and tracking for non-compliance with applicable controls, and monitoring remediation progress against agreed upon timelines
• Work with various client GRC tools
• Perform data analysis and manipulation as needed to analyze a problem and create a solution for our clients
• Evaluate new and existing technologies for compliance with information governance controls (e.g., access, authentication, encryption, logging, retention)
• Perform other duties for Hotman Group or as assigned to best serve our clients in their security, risk, compliance, or GRC programs
Knowledge, Skills, and Abilities
• Ability to manage and execute numerous parallel activities in a fast-paced, dynamic team environment
• Strong organizational skills with ability to manage multiple tasks and projects, demonstrated prioritization and decision-making skills to not miss deadlines or drop assignments
• Strong written and verbal skills, including a demonstrated ability to translate complex or technical information into concepts that are easily understood and actionable
• Familiarity and knowledge of fundamental security/ IT concepts (e.g., retention, data classification, change management, access control, asset management, third party risk)
• Demonstrated critical thinking skills, but also able to follow instruction to meet the team's overall objective
• Technical aptitude to be able to learn new technologies quickly with little instruction
• Strong attention to detail and high commitment to quality
• Good attitude and courtesy to work with a smaller, fast-paced team
• Efficient worker looking for ways to gain efficiencies and maximize time spent
• Able to operate with a high degree of independence executing with excellent follow-through for assigned tasks, but also knowing when to stop, ask questions, and seek input from the team or management
• Passionate about cybersecurity, risk, compliance, and GRC to make companies more secure and healthy in protecting their data
• Not afraid to roll your sleeves up, learn what's needed to learn, get done what needs to get done
• Reliability, discretion and confidentiality
Requirements
• Bachelor or Graduate degree in a cybersecurity, information systems, or related field
• 1-2 years experience in a cybersecurity, audit, risk, compliance, or GRC role preferred.
• Basic understanding of common security and privacy frameworks and regulation (e.g. ISO, NIST, CIS, SOC 2, HIPAA, CCPA, PCI DSS)
• Familiarity with risk management practices, and risk-based thinking to drive prioritization
• Exposure to responding to, analyzing, and communicating security and information technology-related practices and controls
• Interest in obtaining security or risk management certifications, with a willingness to pursue them.
• Technical skills: Proficiency in using basic office tools such as Excel, Word, and PowerPoint.
• Ability to learn and adapt quickly to new technologies in a general sense.
• Basic understanding of audit processes and requirements is desirable.
• Candidate must be located in the USA, and have permanent authorization to work in the USA for any employer
• Clear background check
• Strong Internet connection and secure working area
About Us

Hotman Group is a rapidly growing boutique firm with deep commitment to quality and execution for our clients. We help business leaders with integrity gain the trust of their customers by providing comprehensive cybersecurity & GRC services.

We offer cybersecurity strategy and program development; fully managed programs including execution, implementation, maturation, and remediation; and everything in between with one-time projects like policies, audits, questionnaires, risk assessments, incident response plans, testing, third party vendors, and other cybersecurity or compliance challenges. We support all the top security compliance frameworks, e.g. SOC 2, NIST CSF, ISO 27001, HITRUST to name just a few.
Our Corporate Culture

We pride ourselves on leaving the Corporate culture behind and creating a collaborative environment where everyone can thrive and grow, be excited to fully show up to work every day, and have a lot of fun in the process of solving complex problems and creating amazing results for our clients!
Perks
• Fully remote collaborative team
• Opportunities to grow as we serve our clients
• Break the Corporate mold
• Work hard, play hard
• Passionate about what we do
Benefits *
• Paid holidays and time off
• 401K with employer match
• Medical insurance
• Short- and long-term disability insurance
• Life insurance
• Paid training and development
• Benefits are only available to full-time permanent employees, not contract or contract-to-hire.

No calls or agencies please.","Hotman Group, LLC",,,ZipRecruiter,FULLTIME,"Fort Worth, TX",Yes,,,2024-01-26T20:17:42.000Z,2024-10-26T00:00:00.000Z,"https://www.ziprecruiter.com/c/Hotman-Group,-LLC/Job/Entry-Level-IT-Security-GRC-Analyst-(Remote)/-in-Fort-Worth,TX?jid=ea0d49f4b81a865b&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Fraud Analyst - Entry Level Financial Cyber Security,"Description:

On site role in Birmingham, AL.

Fraud Support - will consume inbound/outbound communications through ticket creation/management, providing such fraud support 24x7x365. The Remote Fraud Support team will assist the Fraud Support Center to assess, evaluate and make decisions on transactional alerts for potential fraud within various user interfaces and provide support by troubleshooting and problem-solving for clients experiencing difficulties using retail applications available on the company's website. The Fraud Support Analyst will act as a liaison between the Fraud Support Center, other business units and clients.

In addition, the Remote Fraud Support Team will support incoming and outgoing customer contact using approved company methods (i.e. call, email, web portal) to identify and prioritize the interaction. The Fraud Support Team will document pertinent information according to company standards, conducting research to provide resolution or escalation leveraging operational runbooks and documented knowledge articles.

Skills:

Investigation and analysis, fraud detection, customer service oriented, call center customer service, Analytic, Attention to detail, Multitasking

Top Skills Details:

Investigation and analysis ,fraud detection, customer service oriented

Additional Skills & Qualifications:

ONSITE IN BIRMINGHAM, AL

Will work holidays.

Experience Level:

Entry level and bachelors degree required.

About TEKsystems:

We're partners in transformation. We help clients activate ideas and solutions to take advantage of a new world of opportunity. We are a team of 80,000 strong, working with over 6,000 clients, including 80% of the Fortune 500, across North America, Europe and Asia. As an industry leader in Full-Stack Technology Services, Talent Services, and real-world application, we work with progressive leaders to drive change. That's the power of true partnership. TEKsystems is an Allegis Group company.

The company is an equal opportunity employer and will consider all applications without regards to race, sex, age, color, religion, national origin, veteran status, disability, sexual orientation, gender identity, genetic information or any characteristic protected by law.",TEKsystems,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSl0J2ay5ZMiuF3XBr_iKVDSzFGdDvb024MQ9O4&s=0,http://www.teksystems.com,ZipRecruiter,FULLTIME,"Birmingham, AL",Yes,20,22,2024-09-23T20:40:59.000Z,2024-10-26T00:00:00.000Z,"https://www.ziprecruiter.com/c/TEKsystems/Job/Fraud-Analyst-Entry-Level-Financial-Cyber-Security/-in-Birmingham,AL?jid=0468595a4879f237&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
EntryLevel Cybersecurity Recruiter,"Watch Video from CEO: https://www.loom.com/share/2a5bc775dd2247e3a252819cbecfe09c?sid=a67afbc5-e575-46bb-af6a-f7e0ea984801
• **Required Application Link Below***

https://share.hsforms.com/1fMZ4XbAlR5a0aGvAudknkQd0z8m

Earn While You Learn to become a Cyber Security Analyst

Cyber Security Training With Purpose

At CyberNow Labs, we are on a mission to train the next generation of cyber security professionals. With over 1 million unfilled cyber security jobs, the need for skilled talent is massive. Our intensive 20-week program combines hands-on technical training with real world experience through our virtual Security Operations Center. Graduates emerge career-ready, prepared to pass industry certifications and land a high paying entry level cyber security job.

Why You Should Consider a Career in Cyber Security:
• · High Compensation - Entry level salaries average $75K
• · Job Security - Cyber security job growth is 8x the national average
• · Social Impact - Help protect companies and countries from cyber threats

Enrollment Representative Work Study Program

As a Workforce Representative in our Work Study Program, you will be on the front lines of our mission – outreach to our prospective cybersecurity employers and recruiters to attend CNL hiring events while ""earning as you learn."" Our innovative program allows you to enroll in our Cyber Security Analyst training at no cost while being paid to generate and attract prospects to various events.

Position Responsibilities:
• Complete 50 outbound calls per day encouraging interested prospects to attend online informational sessions and schedule admissions appointments
• Learn and leverage the company's CRM system and other digital tools to engage with prospects and organize your work

Program Details:
• START/GRADUATE: 5/20/24 - 10/24/24
• Work Study participants earn their tuition to complete the 20-week Cyber Security Analyst program by working 40 hours a week calling prospective students!
• Commissions are earned each time prospects attend an informational session

Job Types: Contract, Internship

Pay: $9,500.00 - $52,000.00 per year

Benefits:
• Tuition reimbursement

Schedule:
• Monday to Friday
• Weekends as needed

Work Location: Remote",CyberNow Labs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTLg6cpxExkyVcif7ZxWXf4V7l0xVKNCbHwJW2Z&s=0,https://cybernowlabs.com,Indeed,CONTRACTOR,"Remote, OR",Yes,9500,52000,2024-06-17T14:55:45.000Z,2025-01-24T12:39:32.000Z,https://www.indeed.com/viewjob?jk=c617d679bb6127a9&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Information Security Analyst Tier 1,"Position Summary

The Information Security Analyst I role involves conducting basic threat detection and incident response activities to maintain NYU's security posture. Job duties include identifying and mitigating security risks by analyzing security events and alerts, executing incident response procedures, and communicating and assisting stakeholders. Typical duties may include analysis of multiple data sources and technologies to assist in the detection of compromised systems and accounts, identification and mitigation of phishing campaigns, and identification and remediation of vulnerable operating systems and software. Provides initial triage for discovered issues, escalates as needed, and contributes to larger incident response efforts when required. Participates in process improvement initiatives to continuously enhance the security posture of the university. Works collaboratively as a team member in a dynamic environment and must also possess excellent analytical, communication, and problem-solving skills. A high level of confidentiality and professionalism is required.

Fully remote work may be considered.
Qualifications

Required Education:Bachelor's Degree or equivalent combination of education and experiencePreferred Education:Bachelor's Degree in a related discipline.Required Experience:2+ years experience involving information technology and/or information security, compliance, or risk management.Preferred Experience:2+ years experience working in a large-scale information technology environment. Experience using network and system diagnostic tools. Basic experience with scripting, programming, or automation methods. Basic experience with intrusion detection or system protection tools and methodologies. Basic experience with vulnerability scanning tools (e.g., Tenable Nessus, InsightVM, Metasploit, etc.) Experience with information security regulatory/compliance requirements.Required Skills, Knowledge and Abilities:Demonstrated understanding of IT security principles and concepts. Ability to clearly communicate information and security concepts to non-technical audiences. Experience with multiple operating systems, including Windows, Mac OS, or Unix/Linux. Must possess strong critical thinking and analytical skills. Must be able to maintain adequate confidentiality, integrity, and availability of information. Maintain a high level of discretion.Preferred Skills, Knowledge and Abilities:Knowledge of foundational security controls and information security best practices. Knowledge of enterprise infrastructure and application monitoring tools. Familiarity with security frameworks such as CIS, NIST, ISO, and PCI-DSS. Familiarity with cloud architecture and security concepts. Familiarity with computer network protocols, network security architecture, and computer architecture. Working knowledge of network systems, security principles, applications, and risk and compliance initiatives.
Additional Information

In compliance with NYC's Pay Transparency Act, the annual base salary range for this position is USD $70,000.00 to USD $80,300.00. New York University considers factors such as (but not limited to) scope and responsibilities of the position, candidate's work experience, education/training, key skills, internal peer equity, as well as, market and organizational considerations when extending an offer. This pay range represents base pay only and excludes any additional items such as incentives, bonuses, clinical compensation, or other items. NYU aims to be among the greenest urban campuses in the country and carbon neutral by 2040. Learn more at nyu.edu/nyugreen.EOE/AA/Minorities/Females/Vet/Disabled/Sexual Orientation/Gender Identity
Employment Type: OTHER",New York University,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSB5xhgYkuxiWd5KmZrgolYlU3b7tZb1B2gyrZf&s=0,https://www.nyu.edu,ZipRecruiter,FULLTIME,"New York, NY",Yes,,,2024-06-07T21:43:00.000Z,2024-10-26T00:00:00.000Z,"https://www.ziprecruiter.com/c/New-York-University/Job/Information-Security-Analyst-Tier-1/-in-New-York,NY?jid=f23db6263497c4ec&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
160457: Cybersecurity/ SOC Analyst - USC Only,"L1 SOC Analyst

US Citizen only

Looking for entry level type resources who either have a small baseline of cyber work or are right out of college

Can also be fresh out of a Cybersecurity bootcamp

Incubator type environment where passion about cyber is key. They can teach the skills but need the passion.

SOC experience not required

40+ analysts on team currently that support over 200+ customers of all kinds of industries

Will go through 8 week training program learning their SIEM (AlienVault). Training will be 8-5 M-F.

Shift is 4x10 that will be decided by preference

Job Description:
• Open trouble tickets, perform initial triage, dispatch and provide break/fix action to resolve network events and issues reported via alarming tools or by customers.
• Respond to customer inquiries and problems
• Perform duties that involve following methods of procedures and technical job aides
• Respond to network activities, which includes supporting service level agreement commitments between Development and internal/external customers
• Initiate the flow of communications between the SOC and (i) internal groups, (ii) vendors, (iii) customers, and (iv) third party carrier/partners
• Manage incident, problem, and change tickets in accordance with change management guidelines and procedures
• Provide input and feedback for the use and optimization of SOC management applications/tools and SOC processes and procedures
• Provide quality, timely, and accurate end-to-end support for any issues within defined areas of responsibility, including but not limited to phone, email and instant message contacts; document/track incidents in the ticketing system
• Document problems by accurately and completely recording in technical logs and trouble ticketing system relevant information, including diagnostic results, multiple product correlation, and escalation and repair performance information
• Properly follow escalation procedures when events and/or impairments are not resolved in the prescribed amount of time
• Perform basic research and analysis of data or information, acquiring skills through on-the-job experience
• SIEM Tools. Understanding of how log aggregators ingest and parse data. SIEM Rule development. ArcSight experience critical.
• DPI and Forensics. The ability to read and understand network packet capture data and EDR technology to determine the malicious nature.
• Attack Methods. Exploit Kits, Malware, Phishing, and software misconfigurations.
• Attacker Lifecycle. Understanding the different events that happen at any given stage. in an attack lifecycle will better prepare your analysts to compartmentalize and prioritize their findings and activities.
• Cyber Security Analysis. The ability to draw inference from various data sources, behavioral patterns, and indicators.
• Network Architecture. An understanding of different network devices and how they operate within the environment.
• OS Architecture. Different operating systems represent different attack vectors. A strong grasp of Windows- and Linux-based operating systems is essential.",PTR Global,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRsnyMIYyjNwRgngPeK55nNNfOdU-J0bNVbfGTT&s=0,,LinkedIn,CONTRACTOR,"No City Provided, No State Provided",Yes,,,2024-09-26T15:24:36.000Z,2024-10-26T15:24:36.000Z,https://www.linkedin.com/jobs/view/160457-cybersecurity-soc-analyst-usc-only-at-ptr-global-4035792204?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Cyber Security Analyst | SOC Analyst 1,"We are seeking a Cybersecurity Analyst I for our client’s growing team, someone who is looking to make a difference in the rapidly evolving field of cybersecurity. In this role, you'll be instrumental in monitoring, analyzing, and investigating security alerts within client environments. You'll have the opportunity to contribute to the development and improvement of standard operating procedures while actively participating in the creation and enhancement of client and internal security policies and procedures.
Location: hybrid in Dallas, Tx or Remote for the right candidate
Shift: Sunday – Wednesday from 6am – 4pm Central is the shift. 4 10-hour shifts.
Salary: Negotiable up to $85K based on experience
What You’ll Be Doing:

Monitor, analyze, and investigate security alerts within client environments.
Provide valuable remediation recommendations for security events and incidents.
Collect, analyze, and deliver valuable threat intelligence.
Collaborate on the development and enhancement of standard operating procedures.
Contribute to the creation and refinement of client/internal security policies and procedures.

Required Skills:

Intermediate-level analyst experience involving host analytics (EDR, Windows event logs, etc.), network-based evidence, and incident investigations.
Proficiency in conducting multi-source threat analysis using SIEM event data.
Intermediate knowledge and hands-on experience with SIEM, EDR, vulnerability management, network traffic analysis, and other industry-standard security technologies for event investigation.
Beginner-level understanding of security-relevant log ingestion necessary to achieve security use cases.
Intermediate understanding of IPv4, TCP/IP, low-level networking, protocols, TCP/UDP ports, and their relation to the security risk landscape.
Basic awareness of cloud technologies in the context of security (AWS, Azure, GCP).

Qualifications:

A minimum of 2 years of technical experience in Information Security or Network Engineering, with at least 1 year in a Security Operations Center.
Exceptional written, verbal, and non-verbal communication skills, particularly in conveying complex information clearly.
Demonstrated ability to excel under pressure while maintaining professionalism.
Effective at identifying and driving positive change to improve the Security Analyst team, working independently.
Proven qualities of integrity, leadership, teamwork, and results-driven performance.
Experience in MSP environment is nice to have.
Experience with a combination of these technologies preferred:
InDepth or Diverse Experience Across these Technologies:

SIEM’s: Sumo Logic by far, Microsoft Sentinel, and Splunk
XDR: Stellar Cyber
EDR: CrowdStrike, SentinelOne, Defender for Endpoint, and Carbon Black

Benefits: A diverse benefit package is offered through our client.

About ITEOM: ITEOM Digital Technology Talent Partners collaborates with top technologists and top employers to align purpose and passion and re-incorporate belonging to make the job search and work experience more human. We are an equal opportunity employer; however, this role is not eligible for sponsorship at this time. Employees eligible for full time W2 employment are encouraged to apply.
Firewall, IDS/IPS, SIEM, EDR, Endpoint, vulnerability management, network traffic analysis, event investigation",ITEOM,,,LazyApply,FULLTIME,"Remote, OR",Yes,70000,85000,2024-02-16T02:30:12.000Z,,https://lazyapply.com/jobpreview/job_60308d47550e4e39?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Security Analyst - Level 1,"Description:
Alacrity Solutions
Level 1 Security Analyst
About Alacrity Solutions
Alacrity Solutions is a full end-to-end provider delivering streamlined insurance claims, repair, and recovery solutions. As one of the largest independent providers of insurance claims services in North America, we provide property, auto, heavy equipment, and casualty claims management services. Our staffing capabilities, temporary housing services, managed repair network, and subrogation services support a fully integrated solution for all your needs from first notice of loss through completion of repairs. By assembling the best service providers through strategic acquisitions and relying on the right talent, Alacrity Solutions provides consistent, professional, and scalable services throughout the entire claim handling and resolution process. To learn more, visit www.AlacritySolutions.com.
The role of the Security Analyst primarily be over Alacrity’s Third-Party Administrator (TPA) business. Performs complex (journey-level) information security analysis work. Work involves planning, implementing, and monitoring security measures for the protection of information systems and infrastructure. May provide guidance to others. Works under general supervision, with moderate latitude for the use of initiative and independent judgment. This entry-level position is an excellent opportunity to start your career in cybersecurity, gain hands-on experience, and work in a dynamic and challenging environment.
Primary Duties include but are not limited to: (Reasonable accommodation may be made to enable qualified individuals to perform essential functions.)

Monitor security alerts and incidents using various security tools and technologies.
Investigate and triage security incidents to determine their nature and severity.
Escalate and report security incidents according to established procedures.
Provide first-level response and support for security incidents.
Collaborate with Level 2 and Level 3 analysts to resolve complex security issues.
Maintain accurate incident records and documentation.
Assist in the development and improvement of security processes and procedures.
Requirements:
Skills & Requirements:

Performs risk assessments and reviews of account permissions, computer data access needs, security violations, and programming changes.
Supports the implementation of computer system security plans with agency personnel and outside vendors.
Develops plans to safeguard computer configuration and data files against accidental or unauthorized modification, destruction, or disclosure and to meet emergency data processing needs.
Modifies and monitors computer configuration and data files to incorporate new software and virus protection systems, correct errors, or change individual access status.
Implements continuous automated security compliance capabilities.
Monitors systems and procedures to protect data systems and databases from unauthorized access.
Performs technical risk assessments and reviews of new and existing applications and systems, including data center physical security and environment.
Research systems and procedures for the prevention, detection, containment, and correction of data security breaches.
Trains users and promotes security awareness to ensure system security and to improve application, server, and network efficiency.
Assists in designing and deploying security applications and infrastructure program activities. Assists in advising management and users regarding security configurations and procedures.
May develop information technology disaster recovery and business continuity planning.
May assist in encrypting data transmissions and defining firewall configuration to protect confidential information in transit.
May provide guidance to others.
Performs related work as assigned.

Education & Experience:

Bachelor's degree in Information Security, Computer Science, or related field (or equivalent experience).
Strong passion for cybersecurity and a desire to learn and grow in the field.
Basic understanding of security concepts, tools, and best practices.
Excellent analytical and problem-solving skills.
Effective communication and interpersonal skills.
Ability to work in a fast-paced and dynamic environment.
Relevant certifications (e.g., CompTIA Security+, CEH, or equivalent) are a plus.

Physical & Mental Demands:
The physical demands described here are representative and must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.

While performing the duties of this job, the employee is regularly required to sit and talk or listen. The employee is occasionally required to stand, walk, and use hands to handle or feel.
Ability to read, analyze, and interpret financial reports, and legal documents, respond to common inquiries or complaints from customers, regulatory agencies, or members of the business community.

Starting salary range:

Salary Range: $55K - $65K

Job Specifics:

Remote

Travel Required:

N/A

Why Choose Alacrity?:

Benefits Package including: Medical, Dental, Vision, Short- and Long-Term Disability, Life Insurance, and an Employee Assistance Program
401K plan options
Paid Holidays
Opportunities for professional development and certification.
A collaborative and supportive work environment.
Exposure to the latest cybersecurity technologies and practices.
A chance to make a real impact in the field of cybersecurity.

Affirmative Action/EEO Statement
Alacrity Solutions is an equal opportunity employer that is committed to diversity and inclusion in the workplace. We prohibit discrimination and harassment of any kind based on race, color, sex, religion, sexual orientation, national origin, disability, genetic information, pregnancy, or any other protected characteristic as outlined by federal, state, or local laws.
This policy applies to all employment practices within our organization, including hiring, recruiting, promotion, termination, layoff, recall, leave of absence, compensation, benefits, and training. Alacrity Solutions makes hiring decisions based solely on qualifications, merit, and business needs at the time. For more information, please refer to our EEO policy.
How Long We Retain Personal Information:
We will keep your personal information for as long as necessary to fulfill legitimate business purposes and in accordance with applicable laws.",Alacrity Solutions,https://www.alacritysolutions.com/wp-content/uploads/2020/01/logo_final.png,http://www.alacritysolutions.com,LazyApply,FULLTIME,"Remote, OR",Yes,55000,65000,2024-01-31T21:05:37.000Z,,https://lazyapply.com/jobpreview/job_8ab58f1d63e6a149?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Assoc Cybersecurity Engineer- 100% Remote,"Associate Cybersecurity Engineer- 100% Remote
Florida-Based Fortune 500 company

ARC Group is seeking an Associate Cybersecurity Engineer for a fully remote position! This opportunity allows you to work from anywhere while adhering to Eastern Time Zone business hours. The role begins as a contract position through March 2025, with a strong possibility of extension or conversion to full-time employment. This is a unique chance to join a respected organization that offers significant potential for career advancement.

This is a great opportunity to work with a Fortune 500 company. The right candidate will have 3 or more year of relevant experience in IT, 1 or more years of Cyber Security logs, and 2+ years of IT Infrastructure Technology. In addition, the candidate selected will have their Security+.

Candidates must currently have PERMANENT US work authorization. Sorry, but we are not considering any candidates from outside companies for this position (no C2C, 3rd party / brokering).

Job Description:
As an Associate Cybersecurity Engineer, you will be responsible for administering and managing a range of cybersecurity tools, devices, and safeguards, as well as overseeing cybersecurity event management. This role is ideal for a self-starter who thrives in a fast-paced environment with cutting-edge technologies such as Palo Alto and Illumio. You will be an integral part of a dynamic team that collaborates closely with service providers and cross-functional teams, including application development, IT operations, network, and privacy departments. Your role will involve troubleshooting and maintaining security product policies and configurations as directed, with a focus on identifying and resolving failures and potential issues. A basic to intermediate understanding of networking is required.

Essential Functions:
• Monitor and Enhance: Oversee the performance and utilization of technical security logging solutions for Threat Operations and Incident Response, continuously seeking enhancements.
• Manage Infrastructure: Administer and manage cybersecurity log infrastructure, orchestration systems, and assigned technical security solutions, including configuration, policy management, and operational activities.
• Incident Response: Assist in security incident response and problem management, troubleshooting hardware and software issues, and performing necessary remediation activities to ensure return-to-operation.
• Script Maintenance: Maintain application scripts and utilize application-specific tools to manage operational security.
• Vulnerability Management: Track, document, and remediate security vulnerabilities, issues, and requests, actively monitoring the work queue.
• Support and Documentation: Provide support for change requests, problem or escalated tickets, and out-of-cycle tasks on assigned security solutions. Develop and maintain operational documentation, including procedures, engineering diagrams, and knowledge bases.
• Security Reporting: Create and coordinate detailed security reports to meet audit, management, or business owner requirements.
• Cross-Functional Collaboration: Collaborate with other IT areas to ensure the timely completion and resolution of security work requests, ensuring appropriate approvals are obtained.
• Process Improvement: Provide input to drive process improvements within the security operations.
• Alert Response and On-Call Support: Respond to security alerts and assist with on-call support as needed.
• Audit Support: Provide support for internal and external audits, ensuring compliance with security protocols.

What is required for the Associate Cyber Security Engineer?
• Work Experience: 3 or more year of relevant experience in IT, 1 or more years of Cyber Security, and 2+ years of IT Infrastructure Technology
• Education: A two-year degree in a related field is preferred, a high school diploma is required
• Required Licenses and Certifications: CompTIA Security+ required, CompTIA Network+ is preferred
• Experience with Cybersecurity Logs: Engineering and administration of cybersecurity logs such as Syslog, CRIBL, log data engines, SplunkES, WEF/WEC.
• Hours: Must be able to work on Eastern Standard Time (EST) hours

Would you like to know more about our new opportunity? For immediate consideration, please send your resume directly to DA Longhi at dlonghi@arcgonline.com or apply online while viewing all of our open positions at www.arcgonline.com.

ARC Group is a Forbes-ranked a top 20 recruiting and executive search firm working with clients nationwide to recruit the highest quality technical resources. We have achieved this by understanding both our candidate's and client's needs and goals and serving both with integrity and a shared desire to succeed.

At ARC Group, we are committed to providing equal employment opportunities and fostering an inclusive work environment. We encourage applications from all qualified individuals regardless of race, ethnicity, religion, gender identity, sexual orientation, age, disability, or any other protected status. If you require accommodations during the recruitment process, please let us know.

Position is offered with no fee to candidate.",ARC Group,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT0Wd1V0-6OsqX8UEDv5vmiZHG1j1JitA__RLdG&s=0,,ZipRecruiter,FULLTIME,"Jacksonville, FL",Yes,,,2024-08-17T05:32:54.000Z,2024-10-25T00:00:00.000Z,"https://www.ziprecruiter.com/c/ARC-Group/Job/Assoc-Cybersecurity-Engineer-100-Remote/-in-Jacksonville,FL?jid=973b96ff04680e30&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Cyber Security Analyst & Data Analyst Position - Free IT Training for Vaterans,"Leading Edge Skills is a renowned IT Company in Silicon Valley California that provides training for highly demanded high-tech programs that are designed to match with exact requirements of the job market and complete in a minimal time period, without compromising on quality. Our Trainers are leaders in IT Industry within the USA. Please visit our website and check out course contents and current student testimonials

Apply for James P. Brennan Scholarship

for IT Training in the following programs

1. Cyber Security

2. Data Analytics

3. Next-Generation Game Developer

4. Math (Calculus)

Virtual 3–6 Month Instructor-Led Training

Scholarship Selection Criteria

1. Education: Minimum Grade 12 or Equivalent

2. Commitment: To spend 8-10 hours for after-class work.

3. Attitude: Inclusive, Respectful, and Resilient.

4. Focus: Get a professional job anywhere in the world but be willing to share knowledge and expand IT footprint in your communities.

To Apply

Fill out the scholarship application under James P. Brennan scholarship program at www.leadingedgeskills.com and upload the required documents that include Resume, Transcripts, Govt ID, and academic aptitude Test Report (if any - not required)

Last Date to Apply: November 13, 2022

Note: We feel pride to inform we offered 50 scholarships worth $80,000 to students who would otherwise never be able to receive High Tech training and get job readiness to find a professional career in the IT industry that pays high income.",Leading Edge Skills,,,DVNF Job Board - Disabled Veterans National Foundation,PARTTIME,"Torrance, CA",Yes,,,2022-10-20T01:47:02.000Z,,https://jobs.dvnf.org/job/leading-edge-skills-remote-part-time-cyber-security-analyst-data-analyst-position-free-it-training-for-vaterans/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
FREE Cybersecurity Technician Training with Drexel University & CompTIA,"THIS IS STRICTLY A RESKILLING OR UPSKILLING OPPORTUNITY FOR THOSE ALREADY IN THE IT FIELD. PLEASE READ THOROUGHLY.

Ready to upskill in your CURRENT company? Is your employer ready to see you grow?
Drexel University is seeking applicants for its cybersecurity apprenticeship program! Are you presently in an entry level IT role such as help desk, network technician, IT support, systems administrator, or another entry level role, and want to do more? Are you working in another department and you're ready to make a career pivot?
Is your employer ready to support your growth?
This registered apprenticeship program allows participants to take 3 courses in Drexel University's College of Computing and Informatics as well as taking stackable CompTIA credentials in A+, Network+, and Security+ culminating into 15 Drexel credits.
Please ensure you meet the below qualifiers before applying:
1. An employer who MAY be interested in sponsoring you for the apprenticeship (we cannot accept applications for new placements at this time)
2. 18 or older
3. HS diploma or equivalent
4. Have Pennsylvania residency
If interested, please apply via this posting and within 48 hours, you will be invited to our virtual information session Monday, November 27th at 4:00 PM.
Job Types: Permanent, Apprenticeship, Full-time
Pay: $65,000.00 per year
Benefits:

Dental insurance
Health insurance
Health savings account
Retirement plan
Vision insurance

Compensation package:

Weekly pay

Experience level:

1 year

Schedule:

8 hour shift
Monday to Friday

Application Question(s):

Applicants must be Pennsylvania residents.

Experience:

IT Help Desk: 1 year (Preferred)

Work Location: Remote",Drexel University,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQbOZMLKMKO8-SkHsktmEYrQVL1Jsn8iC2xVnY4&s=0,https://drexel.edu,LazyApply,FULLTIME,"No City Provided, PA",Yes,65000,65000,2023-11-07T15:38:11.000Z,,https://lazyapply.com/jobpreview/job_b76b0226cd63639c?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
